,society_name,short_description,bhk,square_feet,price,description
97,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,651 sqft",₹2.1 Cr,"This 2 bhk flat is located in jaypee greens star court, which houses some of the most spacious flats in jaypee greens, greater noida. The flat is facing the north direction. The flat occupies a super built up area of 1652 sq.Ft. That consists of 2 bedrooms, 3 bathrooms and 2 balconies. This flat lies on the 5th level of a 19 storey building. This 5-10 years old property is available for immedia..."
98,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,200 sqft",₹3.1 Cr,"This beautiful 3 bhk flat in jaypee greens, greater noida is situated in jaypee greens star court, one of the popular residential society in greater noida. The flat is east-Facing. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of 2200 sq.Ft. This flat is situated on the 6th floor of this 19 floors tall residential building. This is a ready ..."
99,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,750 sqft",₹1.9 Cr,Starcourt jaypee greens 2bhk 18 hole golf view from apartment
100,Jaypee Greens Crescent Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"2,690 sqft",₹3.65 Cr,Crescent court jaypee greens 18 hole golf view from the balcony Comes with all the aminities for daily use
101,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,200 sqft",₹2.8 Cr,Starcourt jaypee greens Prime location 3bhk plus servant Premium flats
102,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,385 sqft",₹3.35 Cr,Start court jaypee greens 3bhk plus servant Golf view And for futher detail contact us
103,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,106 sqft",₹2.85 Cr,Golf course view flat jaypee green star court 3bhk sie 2153sqft good view
104,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,750 sqft",₹1.85 Cr,Golf course view flat jaypee greens greater noida pari chowk
105,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,106 sqft",₹2.8 Cr,Golf course view flat jaypee green greater noida
106,Jaypee Greens Crescent Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,412 sqft",₹8.8 Cr,"Area- 3,405 sq fts. Possession taken in feb, 2012 Fully furnished three bedrooms with attached bath, large living and dining room, tv lobby, powder room, storeroom, washing area, servant quarter with attached bath and independent entry. Private covered parking for 2 cars just in front of lift lobby Improvements- 1-Double glazing of all glass windows and sliding door 2-Modular kitchen, 3-Indepen..."
107,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,163 sqft",₹2.65 Cr,Starcourt jaypee greens One of the premium society in nrc Gound floor is for sale Where you will get 2 bedroom with bathroom attached+ study + store +common toilet+ kitchen and dinning separately
